postgres_start_time,recorded_time
1754462904,1754489342
1754462904,1754489401
1754462904,1754489461
1754462904,1754489522
1754462904,1754489581
1754462904,1754489641
1754462904,1754489701
1754462904,1754489761
1754462904,1754489821
1754462904,1754489881
1754462904,1754489941
1754462904,1754490002
1754462904,1754490061
1754462904,1754490121
1754462904,1754490181
1754462904,1754490242
1754462904,1754490301
1754462904,1754490361
1754462904,1754490421
1754462904,1754490481
1754462904,1754490541
1754462904,1754490601
1754462904,1754490661
1754462904,1754490721
1754462904,1754490781
1754462904,1754490842
1754462904,1754490901
1754462904,1754490961
1754462904,1754491021
1754462904,1754491081
1754462904,1754491141
1754462904,1754491201
1754462904,1754491261
1754462904,1754491321
1754462904,1754491381
1754462904,1754491441
1754462904,1754491502
1754462904,1754491561
1754462904,1754491621
1754462904,1754491681
1754462904,1754491741
1754462904,1754491801
1754462904,1754491861
1754462904,1754491921
1754462904,1754491981
1754462904,1754492041
1754462904,1754492101
1754462904,1754492161
1754462904,1754492222
1754462904,1754492281
1754462904,1754492341
1754462904,1754492401
1754462904,1754492461
1754462904,1754492521
1754462904,1754492581
1754462904,1754492641
1754462904,1754492701
1754462904,1754492761
1754462904,1754492821
1754462904,1754492882
1754462904,1754492941
1754462904,1754493001
1754462904,1754493061
1754462904,1754493122
1754462904,1754493181
1754462904,1754493241
1754462904,1754493301
1754462904,1754493361
1754462904,1754493421
1754462904,1754493481
1754462904,1754493541
1754462904,1754493602
1754462904,1754493661
1754462904,1754493721
1754462904,1754493781
1754462904,1754493842
1754462904,1754493901
1754462904,1754493961
1754462904,1754494021
1754462904,1754494081
1754462904,1754494141
1754462904,1754494201
1754462904,1754494261
1754462904,1754494321
1754462904,1754494381
1754462904,1754494442
1754462904,1754494501
1754462904,1754494561
1754462904,1754494621
1754462904,1754494681
1754462904,1754494741
1754462904,1754494801
1754462904,1754494861
1754462904,1754494921
1754462904,1754494981
1754462904,1754495041
1754462904,1754495102
1754462904,1754495161
1754462904,1754495221
1754462904,1754495281
1754462904,1754495341
1754462904,1754495401
1754462904,1754495461
1754462904,1754495521
1754462904,1754495581
1754462904,1754495641
1754462904,1754495701
1754462904,1754495761
1754462904,1754495822
1754462904,1754495881
1754462904,1754495941
1754462904,1754496001
1754462904,1754496062
1754462904,1754496121
1754462904,1754496181
1754462904,1754496241
1754462904,1754496301
1754462904,1754496361
1754462904,1754496421
1754462904,1754496481
1754462904,1754496542
1754462904,1754496601
1754462904,1754496661
1754462904,1754496721
1754462904,1754496782
1754462904,1754496841
1754462904,1754496901
1754462904,1754496961
1754462904,1754497021
1754462904,1754497081
1754462904,1754497141
1754462904,1754497201
1754462904,1754497261
1754462904,1754497321
1754462904,1754497381
1754462904,1754497442
1754462904,1754497501
1754462904,1754497561
